YearsGroup,DevType,Database,Count,Rank
junior,Security professional,Microsoft SQL Server,9,1
junior,Security professional,PostgreSQL,8,2
junior,Security professional,SQLite,8,3
junior,Security professional,MySQL,8,4
junior,Security professional,MongoDB,7,5
junior,Security professional,Cloud Firestore,5,6
junior,Security professional,Redis,4,7
junior,Security professional,Firebase Realtime Database,3,8
junior,Security professional,Dynamodb,2,9
junior,Security professional,Oracle,2,10
junior,Security professional,MariaDB,2,11
junior,Security professional,BigQuery,1,12
junior,Security professional,Microsoft Access,1,13
junior,Security professional,Supabase,1,14
junior,Security professional,Snowflake,1,15
junior,Security professional,Neo4j,1,16
junior,Security professional,Couchbase,1,17
junior,Security professional,IBM DB2,1,18
junior,Security professional,Cassandra,1,19
junior,Security professional,DynamoDB,1,20
junior,Security professional,Elasticsearch,1,21
junior,"Senior Executive (C-Suite, VP, etc.)",MongoDB,7,1
junior,"Senior Executive (C-Suite, VP, etc.)",SQLite,7,2
junior,"Senior Executive (C-Suite, VP, etc.)",PostgreSQL,4,3
junior,"Senior Executive (C-Suite, VP, etc.)",MySQL,4,4
junior,"Senior Executive (C-Suite, VP, etc.)",Microsoft SQL Server,3,5
junior,"Senior Executive (C-Suite, VP, etc.)",Redis,3,6
junior,"Senior Executive (C-Suite, VP, etc.)",Firebase Realtime Database,3,7
junior,"Senior Executive (C-Suite, VP, etc.)",MariaDB,2,8
junior,"Senior Executive (C-Suite, VP, etc.)",DynamoDB,2,9
junior,"Senior Executive (C-Suite, VP, etc.)",Firebase,2,10
junior,"Senior Executive (C-Suite, VP, etc.)",Couchbase,2,11
junior,"Senior Executive (C-Suite, VP, etc.)",Cloud Firestore,2,12
junior,"Senior Executive (C-Suite, VP, etc.)",Snowflake,1,13
junior,"Senior Executive (C-Suite, VP, etc.)",IBM DB2,1,14
junior,"Senior Executive (C-Suite, VP, etc.)",Cassandra,1,15
junior,Senior executive/VP,Firebase,1,1
junior,Senior executive/VP,MySQL,1,2
junior,Senior executive/VP,MariaDB,1,3
junior,Student,MySQL,125,1
junior,Student,MongoDB,69,2
junior,Student,PostgreSQL,64,3
junior,Student,Microsoft SQL Server,56,4
junior,Student,SQLite,54,5
junior,Student,Firebase,42,6
junior,Student,MariaDB,31,7
junior,Student,Oracle,24,8
junior,Student,Redis,15,9
junior,Student,DynamoDB,9,10
junior,Student,Firebase Realtime Database,9,11
junior,Student,Elasticsearch,8,12
junior,Student,Cloud Firestore,8,13
junior,Student,Couchbase,3,14
junior,Student,IBM DB2,2,15
junior,Student,Cassandra,2,16
junior,Student,Neo4J,1,17
junior,System administrator,MySQL,82,1
junior,System administrator,PostgreSQL,47,2
junior,System administrator,MongoDB,41,3
junior,System administrator,Microsoft SQL Server,38,4
junior,System administrator,SQLite,34,5
junior,System administrator,MariaDB,31,6
junior,System administrator,Redis,23,7
junior,System administrator,Oracle,14,8
junior,System administrator,Elasticsearch,11,9
junior,System administrator,DynamoDB,10,10
junior,System administrator,Firebase,9,11
junior,System administrator,Firebase Realtime Database,6,12
junior,System administrator,IBM DB2,5,13
junior,System administrator,Couchbase,4,14
junior,System administrator,Cloud Firestore,4,15
junior,System administrator,Cassandra,3,16
junior,System administrator,Firebird,1,17
junior,System administrator,Cosmos DB,1,18
junior,System administrator,Dynamodb,1,19
junior,System administrator,InfluxDB,1,20
junior,System administrator,Neo4J,1,21
