Language,DevType,Count,Rank
Fortran,Designer,11,21
Fortran,"Developer, QA or test",10,22
Fortran,Security professional,10,23
Fortran,"Engineer, site reliability",9,24
Fortran,Educator,9,25
Fortran,Research & Development role,7,26
Fortran,"Developer, game or graphics",6,27
Fortran,Student,4,28
Fortran,Blockchain,4,29
Fortran,Developer Experience,2,30
Fortran,Marketing or sales professional,1,31
GDScript,"Developer, full-stack",111,1
GDScript,"Developer, back-end",58,2
GDScript,Engineering manager,12,3
GDScript,"Developer, front-end",12,4
GDScript,"Developer, mobile",12,5
GDScript,"Senior Executive (C-Suite, VP, etc.)",10,6
GDScript,"Developer, game or graphics",10,7
GDScript,DevOps specialist,10,8
GDScript,Data scientist or machine learning specialist,7,9
GDScript,"Developer, desktop or enterprise applications",7,10
GDScript,Cloud infrastructure engineer,6,11
GDScript,Other (please specify):,5,12
GDScript,System administrator,4,13
GDScript,Research & Development role,4,14
GDScript,"Developer, QA or test",3,15
GDScript,"Engineer, data",3,16
GDScript,Developer Experience,3,17
GDScript,Project manager,2,18
GDScript,Educator,2,19
GDScript,"Developer, embedded applications or devices",2,20
GDScript,"Engineer, site reliability",2,21
GDScript,Student,1,22
GDScript,Blockchain,1,23
GDScript,Security professional,1,24
GDScript,Hardware Engineer,1,25
GDScript,Developer Advocate,1,26
GDScript,Designer,1,27
Go,"Developer, back-end",7172,1
Go,"Developer, full-stack",6187,2
Go,DevOps specialist,2469,3
Go,"Developer, front-end",2136,4
Go,"Developer, desktop or enterprise applications",1258,5
Go,"Engineer, site reliability",1193,6
Go,System administrator,1165,7
Go,Engineering manager,1096,8
Go,"Developer, mobile",1005,9
Go,Cloud infrastructure engineer,967,10
Go,Database administrator,906,11
Go,"Engineer, data",883,12
Go,"Developer, embedded applications or devices",632,13
Go,"Developer, QA or test",616,14
Go,Data scientist or machine learning specialist,576,15
Go,Product manager,407,16
Go,Designer,384,17
Go,Other (please specify):,372,18
Go,Data or business analyst,356,19
Go,Educator,345,20
Go,"Senior Executive (C-Suite, VP, etc.)",345,21
Go,Academic researcher,294,22
Go,"Developer, game or graphics",281,23
Go,Security professional,225,24
Go,Scientist,211,25
Go,Student,184,26
Go,Project manager,175,27
Go,Blockchain,141,28
Go,Senior executive/VP,100,29
Go,Research & Development role,62,30
Go,Marketing or sales professional,61,31
Go,Developer Experience,40,32
Go,Developer Advocate,13,33
Go,Hardware Engineer,3,34
Groovy,"Developer, back-end",1511,1
Groovy,"Developer, full-stack",1393,2
Groovy,DevOps specialist,690,3
Groovy,"Developer, front-end",408,4
Groovy,"Developer, desktop or enterprise applications",355,5
Groovy,"Developer, mobile",303,6
Groovy,Cloud infrastructure engineer,277,7
Groovy,Engineering manager,266,8
Groovy,"Developer, QA or test",224,9
Groovy,System administrator,219,10
Groovy,"Engineer, site reliability",205,11
Groovy,"Engineer, data",177,12
Groovy,Other (please specify):,139,13
Groovy,Database administrator,129,14
Groovy,"Developer, embedded applications or devices",117,15
Groovy,Data scientist or machine learning specialist,89,16
Groovy,Data or business analyst,79,17
Groovy,Product manager,76,18
Groovy,"Senior Executive (C-Suite, VP, etc.)",75,19
Groovy,Designer,73,20
Groovy,Security professional,67,21
Groovy,Project manager,66,22
Groovy,Educator,64,23
Groovy,"Developer, game or graphics",37,24
Groovy,Blockchain,33,25
Groovy,Student,33,26
Groovy,Academic researcher,32,27
Groovy,Developer Experience,22,28
Groovy,Scientist,21,29
Groovy,Research & Development role,18,30
Groovy,Marketing or sales professional,8,31
Groovy,Developer Advocate,3,32
Groovy,Hardware Engineer,2,33
HTML/CSS,"Developer, full-stack",38491,1
HTML/CSS,"Developer, back-end",24560,2
HTML/CSS,"Developer, front-end",18347,3
HTML/CSS,"Developer, desktop or enterprise applications",8488,4
HTML/CSS,"Developer, mobile",6993,5
HTML/CSS,DevOps specialist,6379,6
HTML/CSS,Database administrator,5145,7
HTML/CSS,System administrator,4672,8
HTML/CSS,Designer,3688,9
HTML/CSS,Engineering manager,3435,10
HTML/CSS,"Developer, QA or test",3239,11
HTML/CSS,"Engineer, data",2861,12
HTML/CSS,Data or business analyst,2718,13
HTML/CSS,"Developer, embedded applications or devices",2698,14
HTML/CSS,Product manager,2450,15
HTML/CSS,Data scientist or machine learning specialist,2435,16
HTML/CSS,Educator,1932,17
HTML/CSS,"Engineer, site reliability",1816,18
HTML/CSS,Cloud infrastructure engineer,1612,19
HTML/CSS,Academic researcher,1508,20
HTML/CSS,"Developer, game or graphics",1506,21
HTML/CSS,"Senior Executive (C-Suite, VP, etc.)",1354,22
HTML/CSS,Other (please specify):,1165,23
HTML/CSS,Student,1078,24
HTML/CSS,Project manager,978,25
HTML/CSS,Scientist,911,26
HTML/CSS,Senior executive/VP,489,27
HTML/CSS,Security professional,461,28
HTML/CSS,Marketing or sales professional,422,29
HTML/CSS,Blockchain,275,30
HTML/CSS,Research & Development role,131,31
HTML/CSS,Developer Experience,53,32
HTML/CSS,Developer Advocate,42,33
HTML/CSS,Hardware Engineer,20,34
Haskell,"Developer, back-end",747,1
Haskell,"Developer, full-stack",730,2
Haskell,"Developer, front-end",317,3
Haskell,"Developer, desktop or enterprise applications",194,4
Haskell,DevOps specialist,192,5
Haskell,"Developer, mobile",150,6
Haskell,System administrator,134,7
Haskell,Data scientist or machine learning specialist,133,8
Haskell,"Engineer, data",120,9
Haskell,Database administrator,106,10
Haskell,Engineering manager,104,11
Haskell,"Developer, embedded applications or devices",96,12
Haskell,"Engineer, site reliability",84,13
Haskell,"Developer, QA or test",80,14
Haskell,Academic researcher,79,15
Haskell,Educator,69,16
Haskell,Data or business analyst,63,17
Haskell,Scientist,54,18
Haskell,Cloud infrastructure engineer,51,19
Haskell,"Developer, game or graphics",45,20
Haskell,Designer,45,21
Haskell,Product manager,44,22
Haskell,Other (please specify):,39,23
Haskell,Student,38,24
Haskell,Blockchain,32,25
Haskell,"Senior Executive (C-Suite, VP, etc.)",32,26
Haskell,Project manager,30,27
