YearsGroup,DevType,Database,Count,Rank
senior,"Developer, QA or test",Neo4J,4,25
senior,"Developer, QA or test",Cockroachdb,4,26
senior,"Developer, QA or test",Microsoft Access,4,27
senior,"Developer, QA or test",BigQuery,4,28
senior,"Developer, QA or test",Clickhouse,2,29
senior,"Developer, QA or test",Supabase,2,30
senior,"Developer, QA or test",Firebird,1,31
senior,"Developer, QA or test",Couch DB,1,32
senior,"Developer, back-end",PostgreSQL,19197,1
senior,"Developer, back-end",MySQL,16993,2
senior,"Developer, back-end",Redis,12495,3
senior,"Developer, back-end",Microsoft SQL Server,12191,4
senior,"Developer, back-end",SQLite,10760,5
senior,"Developer, back-end",MongoDB,9953,6
senior,"Developer, back-end",Elasticsearch,8380,7
senior,"Developer, back-end",MariaDB,6882,8
senior,"Developer, back-end",Oracle,5130,9
senior,"Developer, back-end",DynamoDB,4204,10
senior,"Developer, back-end",Firebase,2530,11
senior,"Developer, back-end",Cassandra,1723,12
senior,"Developer, back-end",Dynamodb,1043,13
senior,"Developer, back-end",IBM DB2,946,14
senior,"Developer, back-end",Couchbase,757,15
senior,"Developer, back-end",Cloud Firestore,645,16
senior,"Developer, back-end",Firebase Realtime Database,617,17
senior,"Developer, back-end",BigQuery,414,18
senior,"Developer, back-end",H2,376,19
senior,"Developer, back-end",Cosmos DB,336,20
senior,"Developer, back-end",Neo4j,234,21
senior,"Developer, back-end",Snowflake,221,22
senior,"Developer, back-end",InfluxDB,196,23
senior,"Developer, back-end",Other(s):,158,24
senior,"Developer, back-end",CouchDB,137,25
senior,"Developer, back-end",Solr,126,26
senior,"Developer, back-end",Neo4J,110,27
senior,"Developer, back-end",Clickhouse,107,28
senior,"Developer, back-end",Cockroachdb,86,29
senior,"Developer, back-end",Microsoft Access,83,30
senior,"Developer, back-end",Couch DB,49,31
senior,"Developer, back-end",Supabase,47,32
senior,"Developer, back-end",DuckDB,30,33
senior,"Developer, back-end",Datomic,25,34
senior,"Developer, back-end",Firebird,24,35
senior,"Developer, back-end",RavenDB,15,36
senior,"Developer, back-end",TiDB,12,37
senior,"Developer, desktop or enterprise applications",Microsoft SQL Server,6260,1
senior,"Developer, desktop or enterprise applications",MySQL,5173,2
senior,"Developer, desktop or enterprise applications",PostgreSQL,4530,3
senior,"Developer, desktop or enterprise applications",SQLite,4518,4
senior,"Developer, desktop or enterprise applications",MongoDB,2826,5
senior,"Developer, desktop or enterprise applications",Oracle,2485,6
senior,"Developer, desktop or enterprise applications",Redis,2350,7
senior,"Developer, desktop or enterprise applications",MariaDB,2025,8
senior,"Developer, desktop or enterprise applications",Elasticsearch,1751,9
senior,"Developer, desktop or enterprise applications",Firebase,965,10
senior,"Developer, desktop or enterprise applications",DynamoDB,890,11
senior,"Developer, desktop or enterprise applications",IBM DB2,497,12
senior,"Developer, desktop or enterprise applications",Cassandra,346,13
senior,"Developer, desktop or enterprise applications",Couchbase,239,14
senior,"Developer, desktop or enterprise applications",Firebase Realtime Database,197,15
senior,"Developer, desktop or enterprise applications",Cloud Firestore,175,16
senior,"Developer, desktop or enterprise applications",Microsoft Access,88,17
senior,"Developer, desktop or enterprise applications",Other(s):,73,18
senior,"Developer, desktop or enterprise applications",CouchDB,56,19
senior,"Developer, desktop or enterprise applications",Neo4j,56,20
senior,"Developer, desktop or enterprise applications",Firebird,51,21
senior,"Developer, desktop or enterprise applications",Dynamodb,39,22
senior,"Developer, desktop or enterprise applications",Cosmos DB,37,23
senior,"Developer, desktop or enterprise applications",H2,35,24
senior,"Developer, desktop or enterprise applications",InfluxDB,18,25
senior,"Developer, desktop or enterprise applications",BigQuery,13,26
senior,"Developer, desktop or enterprise applications",Snowflake,11,27
senior,"Developer, desktop or enterprise applications",Neo4J,10,28
senior,"Developer, desktop or enterprise applications",Couch DB,9,29
senior,"Developer, desktop or enterprise applications",Solr,8,30
senior,"Developer, desktop or enterprise applications",RavenDB,4,31
senior,"Developer, desktop or enterprise applications",Supabase,4,32
senior,"Developer, desktop or enterprise applications",Cockroachdb,3,33
senior,"Developer, desktop or enterprise applications",Clickhouse,3,34
senior,"Developer, desktop or enterprise applications",DuckDB,2,35
senior,"Developer, embedded applications or devices",SQLite,2072,1
senior,"Developer, embedded applications or devices",MySQL,1917,2
senior,"Developer, embedded applications or devices",PostgreSQL,1735,3
senior,"Developer, embedded applications or devices",Microsoft SQL Server,1369,4
senior,"Developer, embedded applications or devices",MongoDB,1058,5
senior,"Developer, embedded applications or devices",MariaDB,925,6
senior,"Developer, embedded applications or devices",Redis,892,7
senior,"Developer, embedded applications or devices",Elasticsearch,574,8
senior,"Developer, embedded applications or devices",Oracle,561,9
senior,"Developer, embedded applications or devices",Firebase,490,10
senior,"Developer, embedded applications or devices",DynamoDB,348,11
senior,"Developer, embedded applications or devices",Cassandra,140,12
senior,"Developer, embedded applications or devices",IBM DB2,123,13
senior,"Developer, embedded applications or devices",Couchbase,97,14
senior,"Developer, embedded applications or devices",Firebase Realtime Database,83,15
senior,"Developer, embedded applications or devices",Cloud Firestore,59,16
senior,"Developer, embedded applications or devices",Other(s):,31,17
senior,"Developer, embedded applications or devices",CouchDB,28,18
senior,"Developer, embedded applications or devices",Neo4j,22,19
senior,"Developer, embedded applications or devices",InfluxDB,18,20
senior,"Developer, embedded applications or devices",Dynamodb,13,21
senior,"Developer, embedded applications or devices",Cosmos DB,9,22
senior,"Developer, embedded applications or devices",Microsoft Access,8,23
senior,"Developer, embedded applications or devices",BigQuery,6,24
senior,"Developer, embedded applications or devices",Supabase,5,25
senior,"Developer, embedded applications or devices",Neo4J,4,26
senior,"Developer, embedded applications or devices",H2,4,27
senior,"Developer, embedded applications or devices",Firebird,3,28
senior,"Developer, embedded applications or devices",Couch DB,3,29
senior,"Developer, embedded applications or devices",Clickhouse,2,30
senior,"Developer, embedded applications or devices",Cockroachdb,2,31
senior,"Developer, embedded applications or devices",DuckDB,1,32
senior,"Developer, embedded applications or devices",Solr,1,33
senior,"Developer, embedded applications or devices",RavenDB,1,34
senior,"Developer, front-end",MySQL,9180,1
senior,"Developer, front-end",PostgreSQL,7749,2
senior,"Developer, front-end",Microsoft SQL Server,6304,3
senior,"Developer, front-end",MongoDB,5534,4
senior,"Developer, front-end",SQLite,5522,5
senior,"Developer, front-end",Redis,4548,6
senior,"Developer, front-end",MariaDB,3586,7
senior,"Developer, front-end",Elasticsearch,2923,8
senior,"Developer, front-end",Firebase,2366,9
senior,"Developer, front-end",Oracle,2300,10
senior,"Developer, front-end",DynamoDB,1707,11
senior,"Developer, front-end",Firebase Realtime Database,586,12
senior,"Developer, front-end",Cloud Firestore,538,13
senior,"Developer, front-end",IBM DB2,429,14
senior,"Developer, front-end",Cassandra,420,15
senior,"Developer, front-end",Couchbase,333,16
senior,"Developer, front-end",CouchDB,91,17
senior,"Developer, front-end",Neo4j,90,18
senior,"Developer, front-end",Supabase,78,19
senior,"Developer, front-end",Dynamodb,74,20
senior,"Developer, front-end",Other(s):,70,21
senior,"Developer, front-end",Cosmos DB,30,22
senior,"Developer, front-end",BigQuery,19,23
senior,"Developer, front-end",Couch DB,14,24
senior,"Developer, front-end",H2,14,25
senior,"Developer, front-end",Snowflake,12,26
senior,"Developer, front-end",Neo4J,11,27
senior,"Developer, front-end",Microsoft Access,11,28
senior,"Developer, front-end",Solr,11,29
senior,"Developer, front-end",InfluxDB,10,30
senior,"Developer, front-end",Firebird,5,31
senior,"Developer, front-end",Cockroachdb,3,32
senior,"Developer, front-end",Clickhouse,2,33
senior,"Developer, front-end",DuckDB,2,34
senior,"Developer, front-end",RavenDB,1,35
senior,"Developer, front-end",TiDB,1,36
senior,"Developer, full-stack",PostgreSQL,20900,1
senior,"Developer, full-stack",MySQL,19988,2
senior,"Developer, full-stack",Microsoft SQL Server,15738,3
senior,"Developer, full-stack",Redis,12837,4
senior,"Developer, full-stack",SQLite,12458,5
senior,"Developer, full-stack",MongoDB,12125,6
senior,"Developer, full-stack",Elasticsearch,8231,7
senior,"Developer, full-stack",MariaDB,8067,8
senior,"Developer, full-stack",Oracle,5447,9
senior,"Developer, full-stack",DynamoDB,3941,10
senior,"Developer, full-stack",Firebase,3475,11
senior,"Developer, full-stack",Cloud Firestore,1342,12
senior,"Developer, full-stack",Firebase Realtime Database,1273,13
senior,"Developer, full-stack",Dynamodb,1228,14
senior,"Developer, full-stack",Cassandra,1204,15
senior,"Developer, full-stack",IBM DB2,1037,16
senior,"Developer, full-stack",Couchbase,714,17
senior,"Developer, full-stack",Cosmos DB,603,18
senior,"Developer, full-stack",BigQuery,415,19
senior,"Developer, full-stack",H2,395,20
senior,"Developer, full-stack",Microsoft Access,318,21
senior,"Developer, full-stack",Supabase,298,22
senior,"Developer, full-stack",InfluxDB,233,23
senior,"Developer, full-stack",Snowflake,224,24
senior,"Developer, full-stack",Neo4j,200,25
senior,"Developer, full-stack",Solr,189,26
senior,"Developer, full-stack",CouchDB,168,27
senior,"Developer, full-stack",Neo4J,152,28
senior,"Developer, full-stack",Other(s):,124,29
senior,"Developer, full-stack",Couch DB,117,30
senior,"Developer, full-stack",Firebird,88,31
senior,"Developer, full-stack",Cockroachdb,76,32
senior,"Developer, full-stack",Clickhouse,76,33
senior,"Developer, full-stack",Datomic,49,34
senior,"Developer, full-stack",RavenDB,38,35
senior,"Developer, full-stack",DuckDB,35,36
senior,"Developer, full-stack",TiDB,10,37
senior,"Developer, game or graphics",MySQL,1004,1
