YearsGroup,DevType,Tools,Count,Rank
senior,DevOps specialist,"Google Suite (Docs, Meet, etc)",1224,10
senior,DevOps specialist,Gitlab,1180,11
senior,DevOps specialist,PyCharm,992,12
senior,DevOps specialist,Sublime Text,981,13
senior,DevOps specialist,Android Studio,946,14
senior,DevOps specialist,Microsoft Teams,923,15
senior,DevOps specialist,Trello,866,16
senior,DevOps specialist,Microsoft Azure,746,17
senior,DevOps specialist,Eclipse,680,18
senior,DevOps specialist,Xcode,631,19
senior,DevOps specialist,Webstorm,593,20
senior,DevOps specialist,IPython/Jupyter,498,21
senior,DevOps specialist,Rider,458,22
senior,DevOps specialist,Atom,435,23
senior,DevOps specialist,Neovim,432,24
senior,DevOps specialist,Nano,376,25
senior,DevOps specialist,PHPStorm,287,26
senior,DevOps specialist,Emacs,286,27
senior,DevOps specialist,NetBeans,272,28
senior,DevOps specialist,PhpStorm,242,29
senior,DevOps specialist,GoLand,170,30
senior,DevOps specialist,IntelliJ IDEA,145,31
senior,DevOps specialist,RubyMine,145,32
senior,DevOps specialist,CLion,117,33
senior,DevOps specialist,RStudio,106,34
senior,DevOps specialist,Stack Overflow for Teams,101,35
senior,DevOps specialist,Facebook Workplace,80,36
senior,DevOps specialist,TextMate,72,37
senior,DevOps specialist,Qt Creator,60,38
senior,DevOps specialist,Jupyter Notebook/JupyterLab,50,39
senior,DevOps specialist,DataGrip,43,40
senior,DevOps specialist,WebStorm,37,41
senior,DevOps specialist,Goland,35,42
senior,DevOps specialist,IPython,23,43
senior,DevOps specialist,Spyder,22,44
senior,DevOps specialist,"RAD Studio (Delphi, C++ Builder)",20,45
senior,DevOps specialist,VSCodium,17,46
senior,DevOps specialist,Netbeans,14,47
senior,DevOps specialist,Fleet,11,48
senior,DevOps specialist,Kate,11,49
senior,DevOps specialist,Helix,6,50
senior,DevOps specialist,Code::Blocks,5,51
senior,DevOps specialist,BBEdit,4,52
senior,DevOps specialist,"Rad Studio (Delphi, C++ Builder)",4,53
senior,DevOps specialist,Geany,4,54
senior,DevOps specialist,Micro,2,55
senior,DevOps specialist,condo,1,56
senior,Developer Advocate,Visual Studio Code,50,1
senior,Developer Advocate,Visual Studio,20,2
senior,Developer Advocate,IntelliJ IDEA,14,3
senior,Developer Advocate,Vim,13,4
senior,Developer Advocate,Xcode,13,5
senior,Developer Advocate,Notepad++,12,6
senior,Developer Advocate,Eclipse,10,7
senior,Developer Advocate,Android Studio,9,8
senior,Developer Advocate,Sublime Text,6,9
senior,Developer Advocate,Jupyter Notebook/JupyterLab,6,10
senior,Developer Advocate,Rider,6,11
senior,Developer Advocate,WebStorm,5,12
senior,Developer Advocate,Emacs,4,13
senior,Developer Advocate,Goland,4,14
senior,Developer Advocate,DataGrip,4,15
senior,Developer Advocate,Neovim,4,16
senior,Developer Advocate,Nano,4,17
senior,Developer Advocate,Atom,4,18
senior,Developer Advocate,Helix,3,19
senior,Developer Advocate,PhpStorm,3,20
senior,Developer Advocate,VSCodium,2,21
senior,Developer Advocate,RubyMine,2,22
senior,Developer Advocate,IPython,1,23
senior,Developer Advocate,PyCharm,1,24
senior,Developer Advocate,BBEdit,1,25
senior,Developer Advocate,CLion,1,26
senior,Developer Advocate,Code::Blocks,1,27
senior,Developer Experience,Visual Studio Code,74,1
senior,Developer Experience,Vim,33,2
senior,Developer Experience,IntelliJ IDEA,27,3
senior,Developer Experience,Neovim,20,4
senior,Developer Experience,Visual Studio,15,5
senior,Developer Experience,Android Studio,14,6
senior,Developer Experience,Sublime Text,13,7
senior,Developer Experience,Notepad++,13,8
senior,Developer Experience,Jupyter Notebook/JupyterLab,12,9
senior,Developer Experience,Xcode,11,10
senior,Developer Experience,IPython,8,11
senior,Developer Experience,Eclipse,7,12
senior,Developer Experience,Nano,7,13
senior,Developer Experience,PyCharm,7,14
senior,Developer Experience,WebStorm,7,15
senior,Developer Experience,Goland,6,16
senior,Developer Experience,Emacs,6,17
senior,Developer Experience,VSCodium,5,18
senior,Developer Experience,DataGrip,5,19
senior,Developer Experience,Rider,5,20
senior,Developer Experience,Helix,4,21
senior,Developer Experience,Netbeans,4,22
senior,Developer Experience,CLion,3,23
senior,Developer Experience,PhpStorm,3,24
senior,Developer Experience,Atom,3,25
senior,Developer Experience,Geany,2,26
senior,Developer Experience,"Rad Studio (Delphi, C++ Builder)",2,27
senior,Developer Experience,RubyMine,1,28
senior,Developer Experience,condo,1,29
senior,Developer Experience,Kate,1,30
senior,Developer Experience,Code::Blocks,1,31
senior,"Developer, QA or test",Visual Studio Code,1483,1
senior,"Developer, QA or test",Github,1050,2
senior,"Developer, QA or test",Jira,817,3
senior,"Developer, QA or test",Slack,796,4
senior,"Developer, QA or test",Notepad++,766,5
senior,"Developer, QA or test",Visual Studio,739,6
senior,"Developer, QA or test","Google Suite (Docs, Meet, etc)",641,7
senior,"Developer, QA or test",Vim,630,8
senior,"Developer, QA or test",IntelliJ,611,9
senior,"Developer, QA or test",Confluence,601,10
senior,"Developer, QA or test",Gitlab,568,11
senior,"Developer, QA or test",Android Studio,525,12
senior,"Developer, QA or test",Trello,456,13
senior,"Developer, QA or test",Microsoft Teams,431,14
senior,"Developer, QA or test",Sublime Text,397,15
senior,"Developer, QA or test",Eclipse,374,16
senior,"Developer, QA or test",PyCharm,361,17
senior,"Developer, QA or test",Xcode,308,18
senior,"Developer, QA or test",Microsoft Azure,287,19
senior,"Developer, QA or test",Atom,226,20
senior,"Developer, QA or test",Webstorm,221,21
senior,"Developer, QA or test",IPython/Jupyter,173,22
senior,"Developer, QA or test",NetBeans,162,23
senior,"Developer, QA or test",Rider,138,24
senior,"Developer, QA or test",Nano,121,25
senior,"Developer, QA or test",PHPStorm,121,26
senior,"Developer, QA or test",Neovim,104,27
senior,"Developer, QA or test",PhpStorm,91,28
senior,"Developer, QA or test",Emacs,89,29
senior,"Developer, QA or test",Stack Overflow for Teams,83,30
senior,"Developer, QA or test",RubyMine,55,31
senior,"Developer, QA or test",RStudio,47,32
senior,"Developer, QA or test",CLion,42,33
senior,"Developer, QA or test",IntelliJ IDEA,41,34
senior,"Developer, QA or test",Facebook Workplace,40,35
senior,"Developer, QA or test",GoLand,38,36
senior,"Developer, QA or test",TextMate,35,37
senior,"Developer, QA or test",Qt Creator,20,38
senior,"Developer, QA or test","RAD Studio (Delphi, C++ Builder)",18,39
senior,"Developer, QA or test",Jupyter Notebook/JupyterLab,15,40
senior,"Developer, QA or test",WebStorm,10,41
senior,"Developer, QA or test",Spyder,10,42
senior,"Developer, QA or test",VSCodium,7,43
senior,"Developer, QA or test",IPython,5,44
senior,"Developer, QA or test",Goland,2,45
senior,"Developer, QA or test",Code::Blocks,2,46
senior,"Developer, QA or test",Kate,1,47
senior,"Developer, QA or test",Fleet,1,48
senior,"Developer, QA or test",Helix,1,49
senior,"Developer, QA or test",BBEdit,1,50
senior,"Developer, QA or test",DataGrip,1,51
senior,"Developer, QA or test",Netbeans,1,52
senior,"Developer, back-end",Visual Studio Code,15692,1
senior,"Developer, back-end",Github,7759,2
senior,"Developer, back-end",Visual Studio,7043,3
senior,"Developer, back-end",Notepad++,6111,4
senior,"Developer, back-end",Vim,6083,5
senior,"Developer, back-end",Slack,5977,6
senior,"Developer, back-end",Jira,5932,7
senior,"Developer, back-end",IntelliJ,5789,8
senior,"Developer, back-end","Google Suite (Docs, Meet, etc)",4527,9
senior,"Developer, back-end",Confluence,4263,10
senior,"Developer, back-end",Gitlab,4025,11
senior,"Developer, back-end",Sublime Text,3997,12
senior,"Developer, back-end",PyCharm,3591,13
senior,"Developer, back-end",Android Studio,3582,14
senior,"Developer, back-end",Trello,3180,15
senior,"Developer, back-end",Microsoft Teams,3039,16
senior,"Developer, back-end",Eclipse,2578,17
senior,"Developer, back-end",Xcode,2108,18
senior,"Developer, back-end",Microsoft Azure,2033,19
senior,"Developer, back-end",IntelliJ IDEA,1875,20
senior,"Developer, back-end",Webstorm,1719,21
senior,"Developer, back-end",Rider,1714,22
senior,"Developer, back-end",Atom,1704,23
senior,"Developer, back-end",IPython/Jupyter,1538,24
senior,"Developer, back-end",Neovim,1523,25
senior,"Developer, back-end",Nano,1198,26
senior,"Developer, back-end",PhpStorm,1196,27
senior,"Developer, back-end",Emacs,1084,28
